word,meaning,category
resume,이력서,toeic
applicant,지원자,toeic
requirement,필요조건,toeic
meet,만족시키다,toeic
qualified,자격있는,toeic
candidate,후보자,toeic
confidence,확신,toeic
highly,매우,toeic
professional,전문적인,toeic
interview,면접,toeic
hire,고용하다,toeic
training,교육,toeic
reference,추천서,toeic
position,일자리,toeic
achievement,성취,toeic
impressed,인상 깊게 생각하는,toeic
excellent,훌륭한,toeic
eligible,자격이 있는,toeic
identify,알아보다,toeic
associate,관련시키다,toeic
condition,조건,toeic
employment,고용,toeic
lack,~이 없다,toeic
managerial,관리의,toeic
diligent,성실한,toeic
familiar,익숙한,toeic
proficiency,숙달,toeic
prospective,장래의,toeic
appeal,관심을 끌다,toeic
specialize,~을 전공하다,toeic
apprehensive,걱정하는,toeic
consultant,고문,toeic
entitle,자격을 주다,toeic
degree,학위,toeic
payroll,임금대장,toeic
recruit,모집하다,toeic
certification,증명서,toeic
occupation,직업,toeic
wage,임금,toeic
attire,복장,toeic
code,규범,toeic
concern,우려,toeic
policy,규정; 보험,toeic
comply,준수하다,toeic
regulation,규정,toeic
exception,예외,toeic
adhere,지키다,toeic
severely,엄격하게,toeic
refrain,자제하다,toeic
permission,허락,toeic
access,이용권한,toeic
thoroughly,철저하게,toeic
revise,수정하다,toeic
approach,접근법,toeic
approval,승인,toeic
form,종류,toeic
immediately,즉시,toeic
inspection,점검,toeic
arrangement,준비,toeic
procedure,절차,toeic
negative,부정적인,toeic
mandate,명령하다,toeic
effect,효력,toeic
drastically,심하게,toeic
according to,~에 따라,toeic
enable,가능하게 하다,toeic
standard,기준,toeic
constant,지속적인,toeic
act,법령,toeic
compensation,보상금,toeic
ban,금지,toeic
obligation,의무,toeic
authorize,~을 인가하다,toeic
prohibit,금지하다,toeic
abolish,폐지하다,toeic
enforce,시행하다,toeic
habit,습관,toeic
lagislation,법률,toeic
restrict,한정하다,toeic
accustomed,익숙한,toeic
corporatiion,주식회사,toeic
demanding,요구가 많은,toeic
colleague,동료,toeic
division,부서,toeic
request,요청,toeic
efficiently,효율적으로,toeic
submit,제출하다,toeic
directly,곧바로,toeic
remind,~에게 상기시키다,toeic
instruct,지시하다,toeic
deadline,마감일,toeic
sample,견본,toeic
notify,~에게 통지하다,toeic
perform,행하다,toeic
monitor,감독하다,toeic
deserve,~할 만하다,toeic
assignment,일,toeic
entire,전체의,toeic
release,발표하다,toeic
extension,연장,toeic
electronically,컴퓨터 통신망으로,toeic
attendance,출석,toeic
absolutely,절대적으로,toeic
delegate,위임하다. 대표,toeic
attentively,주의 깊게,toeic
supervision,감독,toeic
workshop,워크숍,toeic
draw,끌다,toeic
revision,수정,toeic
reluctantly,마지못해,toeic
acquaint,~에게 숙지시키다,toeic
convey,전달하다,toeic
check,검사하다,toeic
headquarters,본부,toeic
file,정리하다,toeic
oversee,감독하다 ,toeic
involved,관여하는,toeic
concentrate,집중하다,toeic
lax,느슨한,toeic
procrastinate,미루다,toeic
combined,결합된,toeic
accomplish,성취하다,toeic
voluntarily,자발적으로,toeic
undertake,떠맡다,toeic
occasionally,가끔,toeic
employee,직원,toeic
assist,돕다,toeic
satisfied,만족하는,toeic
manner,방식,toeic
responsible,책임이 있는,toeic
conduct,수행하다,toeic
adjust,적응하다,toeic
personnel,직원,toeic
agree,동의하다,toeic
supervise,감독하다,toeic
coworker,동료,toeic
direct,~에게 길을 안내하다,toeic
confidential,기밀의,toeic
assign,배정하다,toeic
leading,선도적인,toeic
formal,격식을 갖춘,toeic
remove,해임하다,toeic
collect,모으다,toeic
coordinate,조정하다,toeic
hardly,거의~하지않다,toeic
abstract,추상적인,toeic
directory,주소록,toeic
accountable,책임이 있는,toeic
skillfully,능숙하게,toeic
exclusive,독점적인,toeic
intention,의지,toeic
transform,바꾸다,toeic
respectful,정중한,toeic
duplicate,사본,toeic
contrary,반대,toeic
disturbing,충격적인,toeic
engage,관여하다,toeic
foster,촉진하다,toeic
neutrality,중립성,toeic
widely,널리,toeic
sophisticated,정교한,toeic
timely,시기적절한,toeic
realistically,현실적으로,toeic
promptly,즉시; 정각에,toeic
implement,실시하다,toeic
feedback,의견,toeic
outstanding,우수한; 미지불된,toeic
inform,~에게 알리다,toeic
replacement,교체,toeic
announcement,공고,toeic
department,부서,toeic
permanently,영구적으로,toeic
fulfill,지키다,toeic
outline,개요,toeic
explain,설명하다,toeic
contain,포함하다,toeic
compile,편집하다; 모으다,toeic
subsequent,차후의,toeic
overview,개요,toeic
provider,공급자,toeic
matter,문제,toeic
expertise,전문지식,toeic
demonstrate,증명하다; 설명하다,toeic
remainder,나머지,toeic
essential,필수적인,toeic
divide,분배하다,toeic
major,주요한,toeic
compliance,준수,toeic
clarify,명확하게 하다,toeic
face,직면하다; 향하다,toeic
aspect,관점,toeic
apparently,보기에 ~한 듯한,toeic
aware,알고 있는,toeic
extended,연장한,toeic
accidentally,뜻하지 않게,toeic
advisable,바람직한,toeic
concerned,염려하는,toeic
speak,이야기 하다,toeic
collection,소장품,toeic
exhibition,전시회,toeic
celebrity,유명인사,toeic
live,생방송인,toeic
improvise,즉흥적으로 하다,toeic
popular,인기있는,toeic
donation,기증,toeic
alumni,동창생들,toeic
present,제시하다,toeic
admission,입장,toeic
banquet,연회,toeic
anniversary,기념일,toeic
required,필수의,toeic
succeed,성공하다,toeic
rest,쉬다,toeic
fund-raising,모금,toeic
issue,제 ~호; 문제,toeic
subscription, 구독,toeic
appear,나타나다,toeic
accompany,동행하다,toeic
edition,판,toeic
specifically,명확하게,toeic
anonymous,익명의,toeic
commit,헌신하다,toeic
information,유익한,toeic
audience,청중,toeic
author,작가,toeic
antique,골동품,toeic
manuscript,원고,toeic
beneficial,유익한,toeic
upcoming,곧 있을,toeic
lend,빌려주다,toeic
current,현재의,toeic
local,지방의,toeic
variety,다양성,toeic
advocate,옹호자,toeic
contributor,기고가,toeic
fascinating,매혹적인,toeic
showing,상영; 전시,toeic
survey,설문조사,toeic
analysis,분석,toeic
respondent,응답자,toeic
competition,경쟁,toeic
consistently,항상,toeic
demand,수요,toeic
do one's utmost,전력을 다하다,toeic
expand,확장하다,toeic
advanced,고급의; 진보한,toeic
postpone,연기하다,toeic
additional,추가의,toeic
demonstration,설명; 드러냄,toeic
buy,사다,toeic
examine,조사하다,toeic
effective,효과적인; 발표되는,toeic
like,좋아하다,toeic
especially,특히,toeic
closely,면밀히,toeic
reserve,예약하다,toeic
cooperate,협력하다,toeic
very,매우,toeic
consecutive,연속적인,toeic
expectation,예상,toeic
publicize,공표하다; 광고하다,toeic
raise,높이다,toeic
extremely,극도로,toeic
affect,~에 영향을 미치다,toeic
target,목표,toeic
campaign,운동,toeic
probable,개연성이 높은,toeic
focus,집중시키다,toeic
seasonal,계절의,toeic
impact,영향,toeic
comparison,비교,toeic
gap,격차,toeic
mounting,증가하는,toeic
reflective,반영하는,toeic
advertisement,광고,toeic
marginal,약간의; 주변의,toeic
customer,고객,toeic
influence,~에 영향을 주다,toeic
instantly,즉각적으로,toeic
creative,창조적인,toeic
aggressively,적극적으로,toeic
aim,~을 겨누다,toeic
strategy,전략,toeic
indicate,보여주다,toeic
attract,끌다,toeic
experience,경험,toeic
analyze,분석하다,toeic
introduce,발표하다,toeic
advise,조언해주다,toeic
subscribe,구독하다,toeic
absence,부재; 결근,toeic
means,방법,toeic
prefer,~을 더 좋아하다,toeic
advantage,이점,toeic
forward,앞으로,toeic
contemporary,동시대의; 현대의,toeic
discussion,토론,toeic
initial,처음의,toeic
steadily,착실하게; 꾸준히,toeic
necessarily,반드시,toeic
resolve,해결하다,toeic
detect,간파하다,toeic
intensify,강화하다,toeic
favorably,호의적으로; 순조롭게,toeic
less,보다 적은,toeic
majority,대부분,toeic
adopt,채택하다,toeic
largely,주로,toeic
disregard,소홀히 하다,toeic
effort,노력,toeic
incentive,혜택,toeic
need,필요,toeic
mastermind,입안자,toeic
stagnant,침체된,toeic
dramatically,극적으로,toeic
brisk,활발한,toeic
unstable,불안정한,toeic
rapidly,급속히,toeic
soar,폭등하다,toeic
assert,단언하다,toeic
boost,부양시키다,toeic
analyst,분석가,toeic
potential,잠재적인,toeic
pleased,만족해하는,toeic
limited,제한된,toeic
costly,비용이 많이 드는,toeic
particular,특정한,toeic
drastic,과감한,toeic
evenly,고르게,toeic
evidence,증거,toeic
prospect,전망,toeic
lead,이글다,toeic
fall,하락하다,toeic
period,기간,toeic
indicator,지표,toeic
industry,산업,toeic
likely,~할 것 같은,toeic
boom,붐,toeic
director,임원,toeic
substitute,대용품,toeic
consequence,결과,toeic
fairly,상당히,toeic
economical,경제적인,toeic
thrive,번영하다,toeic
implication,영향,toeic
wane,감소,toeic
prosperity,번영 ,toeic
depression,불황 ,toeic
dwindle,줄어들다,toeic
impede,저해하다,toeic
promising,유망한,toeic
adversity,역경,toeic
purchase,구매하다,toeic
installment,할부,toeic
affordable,알맞은,toeic
exactly,정확히,toeic
auction,경매,toeic
authentic,진정한,toeic
charge,요금,toeic
notice,통지,toeic
experienced,경험이 있는,toeic
instruction,설명,toeic
expert,전문가,toeic
warranty,보증,toeic
refund,환불,toeic
subscriber,가입자,toeic
delivery,배달,toeic
price,가격,toeic
receipt,영수증,toeic
offer,제공하다,toeic
carefully,주의깊게,toeic
benefit,혜택,toeic
exclusively,오로지,toeic
description,설명,toeic
relatively,상대적으로,toeic
spare,아끼다,toeic
preparation,준비,toeic
area,지역,toeic
clearance,정리,toeic
alter,고치다,toeic
apply,적용하다; 지원하다,toeic
mutually,서로,toeic
method,방식,toeic
acceptable,용인되는,toeic
desire,욕구,toeic
officially,공식적으로,toeic
consumption,소비,toeic
qualify,~의 자격을 얻다,toeic
fabric,섬유,toeic
valid,유효한,toeic
vendor,노점상,toeic
research,연구,toeic
devise,고안하다,toeic
revolutionary,혁명적인,toeic
innovative,혁신적인,toeic
feature,특징,toeic
inspiration,영감,toeic
sufficiently,충분히,toeic
patent,특허,toeic
envision,계획하다,toeic
following,~후에,toeic
grant,수여하다,toeic
allow,~하게 하다,toeic
inspect,~을 검사하다,toeic
improve,향상시키다,toeic
increasingly,점점,toeic
invest,투자하다,toeic
various,여러 가지의,toeic
upgrade,업그레이드,toeic
manual,설명서,toeic
explore,조사하다,toeic
response,응답,toeic
appearance,외관,toeic
successful,성공적인,toeic
hold,~을 수용하다,toeic
advance,진보,toeic
reliable,믿을 만한,toeic
quality,품질,toeic
domestic,국내의,toeic
development,개발,toeic
availability,가능성,toeic
update,갱신,toeic
accurate,정확한,toeic
complicate,복잡한,toeic
accomplished,숙련된,toeic
inquiry,문의,toeic
indication,징후,toeic
manufacturer,제조회사,toeic
compatible,호환되는,toeic
superior,우수한,toeic
absolute,완전한,toeic
broaden,넓히다,toeic
corrosion,부식,toeic
equipment,장비,toeic
automate,자동화하다,toeic
specification,명세서,toeic
properly,제대로,toeic
safety,안전,toeic
precaution,예방조치,toeic
operate,작동하다,toeic
processing,가공,toeic
capacity,용량,toeic
assemble,조립하다;모으다,toeic
utilize,이용하다,toeic
fill,~을 채우다; 이행하다,toeic
manufacturing,제조의,toeic
renovate,개조하다,toeic
decision,결정,toeic
material,재료,toeic
success,성과,toeic
attribute,~의 덕분으로 돌리다,toeic
efficiency,효율,toeic
limit,한계,toeic
tailored,맞춤의,toeic
component,부품,toeic
capable,~을 할 수 있는,toeic
economize,절약하다,toeic
flexible,융통성 있는; 유연한,toeic
comparable,필적하는,toeic
produce,생산하다,toeic
respectively,각각,toeic
device,장치,toeic
trim,다듬다,toeic
launch,출시하다,toeic
separately,개별적으로,toeic
expiration,만료,toeic
maneuver,이동시키다,toeic
coming,다가오는,toeic
damaged,손상된,toeic
prevent,~을 막다,toeic
power,전력,toeic
chemical,화학제품,toeic
complaint,불평,toeic
argumentative,논쟁적인,toeic
appropriately,적절하게,toeic
respond,응답하다,toeic
infuriate,화나게하다,toeic
courteous,예의바른,toeic
satisfaction,만족,toeic
inconvenience,불편,toeic
complete,완료하다,toeic
specific,구체적인,toeic
return,반환하다,toeic
replace,~을 교체하다,toeic
presentation,발표,toeic
evaluation,평가,toeic
confident,자신 있는,toeic
cause,~을 야기하다,toeic
commentary,해설,toeic
notification,통지,toeic
apologize,사과하다,toeic
interact,소통하다,toeic
certain,확신하는,toeic
commitment,헌신,toeic
biography,약력,toeic
depend on,~에 달려 있다,toeic
combine,결합시키다,toeic
priority,우선권,toeic
observe,관찰하다,toeic
defective,결함이 있는,toeic
reflect,반영하다,toeic
attitude,태도,toeic
disappoint,실망시키다,toeic
inquire,문의하다,toeic
insert,삽입하다,toeic
disclose,공개하다,toeic
guarantee,보장하다,toeic
politely,공손하게,toeic
seriously,진지하게,toeic
international,국제적인,toeic
attraction,관광 명소,toeic
itinerary,여행 일정,toeic
exotic,이국적인,toeic
diverse,다양한,toeic
superb,최고의,toeic
baggage,수화물,toeic
destination,목적지,toeic
missing,분실된,toeic
approximately,대략,toeic
duty,관세,toeic
process,과정,toeic
board,탑승하다,toeic
comfortable,편안한,toeic
declare,신고하다,toeic
specify,명시하다 ,toeic
depart,출발하다,toeic
emergency,비상시,toeic
passenger,승객,toeic
outgoing,출발하는,toeic
tightly,단단히,toeic
tour,견학,toeic
carrier,항공사,toeic
customarily,관례상,toeic
confuse,혼란시키다 ,toeic
arrive,도착하다,toeic
brochure,소책자,toeic
involve,수반하다,toeic
ship,운송하다,toeic
suitcase,여행가방,toeic
unavailable,이용할 수 없는,toeic
fill out/in,기입하다,toeic
customs,세관,toeic
away,떨어져서,toeic
dramatic,멋진,toeic
hospitality,환대,toeic
indulge,빠지다,toeic
proximity,가까움,toeic
seating,좌석 설비; 좌석 배열,toeic
unlimited,무제한의,toeic
proposal,제안,toeic
alliance,동맹,toeic
stipulation,계약 조건,toeic
term,조건; 임기,toeic
compromise,타협,toeic
negotiation,협상,toeic
agreement,계약,toeic
deadlock,교착 상태,toeic
review,검토하다,toeic
contract,계약,toeic
signature,서명,toeic
originally,원래,toeic
direction,방향,toeic
initially,처음에,toeic
expire,만료되다,toeic
collaborate,협력하다,toeic
dedicate,전념하다,toeic
revised,수정된,toeic
imperative,반드시 해야 하는,toeic
cooperatively,협력하여,toeic
commission,수수료,toeic
omit,빠뜨리다,toeic
conflict,대립,toeic
renew,갱신하다,toeic
proficient,능숙한,toeic
confidentiality,기밀,toeic
dispute,분쟁,toeic
objection,반대,toeic
define,규정하다,toeic
impression,인상,toeic
security,보안,toeic
option,선택권,toeic
proceed,진행하다,toeic
modify,수정하다,toeic
narrow,좁히다,toeic
bid,입찰,toeic
settle,해결하다,toeic
terminate,끝내다,toeic
challenging,도전적인,toeic
foundation,토대,toeic
completely,전적으로,toeic
refuse,거절하다,toeic
temporarily,일시적으로,toeic
dealer,판매업자,toeic
bulk,대량의,toeic
inventory,재고품,toeic
short,부족한,toeic
cost,비용,toeic
selection,선택된 것,toeic
commercial,상업의,toeic
order,주문하다,toeic
provide,공급하다,toeic
contact,~와 연락하다,toeic
invoice,송장,toeic
move,옮기다,toeic
supply,공급하다,toeic
discount,할인,toeic
distribute,배포하다,toeic
acquisition,인수; 구입한 것,toeic
assure,~에게 보장하다,toeic
seek,구하다,toeic
satisfactory,만족스러운,toeic
confirmation,확인,toeic
unable,~할 수 없는,toeic
payment,지불,toeic
measure,대책,toeic
bargain,특가품,toeic
stock,재고; 주식,toeic
affordability,감당할 수 있는 비용,toeic
clientele,고객들,toeic
acclaim,호평,toeic
represent,~을 대표하다,toeic
rating,등급,toeic
encompass,포함하다,toeic
finalize,마무리 짓다,toeic
market,시장,toeic
retail,소매,toeic
commodity,상품,toeic
quote,견적,toeic
consignment,위탁 판매,toeic
fragile,깨지기 쉬운,toeic
perishable,부패하기 쉬운,toeic
deliver,배달하다; 하다,toeic
ensure,확실하게 하다,toeic
courier,급송 택배,toeic
carton,판지상자,toeic
address,주소,toeic
shipment,선적,toeic
particularly,특히,toeic
adequately,적절히,toeic
article,물품,toeic
efficient,효과적인,toeic
agency,대행 회사,toeic
careful,조심스러운,toeic
carry,지니다; 팔다,toeic
attach,붙이다,toeic
formerly,이전에,toeic
package,소포,toeic
react,반응하다,toeic
content,내용물,toeic
convenience,편의,toeic
caution,주의,toeic
correspondence,편지,toeic
separate,분리하다; 분류하다,toeic
remarkable,현저한,toeic
handle,취급하다,toeic
warehouse,창고,toeic
impose,부과하다,toeic
storage,보관소,toeic
detach,분리하다,toeic
envelope,봉투,toeic
exclusion,제외,toeic
recipient,수신자,toeic
affix,붙이다,toeic
incorrect,부정확한,toeic
step,단계; 조치,toeic
check in,체크인하다,toeic
compensate,보상하다,toeic
complimentary,무료의,toeic
chef,주방장,toeic
container,용기,toeic
elegant,우아한,toeic
flavor,맛,toeic
accommodate,제공하다;만족시키다,toeic
reception,환영회; 접수처,toeic
in advance,미리,toeic
refreshments,다과,toeic
make,~을 하다,toeic
cater,음식물을 공급하다,toeic
reservation,예약,toeic
beverage,음료,toeic
confirm,확인하다,toeic
cancel,취소하다,toeic
rate,요금,toeic
conveniently,편리하게,toeic
decorate,장식하다,toeic
retain,유지하다,toeic
atmosphere,분위기,toeic
cuisine,요리,toeic
sequence,순서,toeic
extensive,광범위한,toeic
prior,전의,toeic
book,예약하다,toeic
amenity,편의 시설,toeic
belongings,소지품,toeic
entirely,완전히,toeic
ease,완화시키다,toeic
ingredient,재료,toeic
sip,음미하며 마시다,toeic
stir,휘젓다,toeic
choice,선택물,toeic
complication,복잡한 문제,toeic
freshness,신선함,toeic
occupancy,이용률,toeic
decline,감소,toeic
markedly,현저하게,toeic
increase,인상,toeic
revenue,수입,toeic
projection,예상,toeic
substantial,상당한,toeic
anticipate,예상하다,toeic
significantly,상당히,toeic
estimate,추정하다,toeic
shift,옮기다,toeic
fee,요금,toeic
production,생산량,toeic
sale,판매,toeic
impressive,굉장한,toeic
representative,직원,toeic
recent,최근의,toeic
exceed,~을 초과하다,toeic
improvement,향상,toeic
employer,고용주,toeic
regular,정기적인; 단골의,toeic
summarize,요약하다,toeic
typically,보통,toeic
whole,전체의,toeic
growth,성장,toeic
figure,총액,toeic
steady,꾸준한; 안정된,toeic
frequent,빈번한,toeic
achieve,달성하다,toeic
assumption,추정,toeic
share,공유하다,toeic
incur,지다,toeic
slightly,약간,toeic
profit,수익,toeic
reliant,의존하는,toeic
illustrate,분명히 보여주다,toeic
inaccurate,부정확한,toeic
percentage,비율,toeic
reduce,줄이다,toeic
tend,~하는 경향이 있다,toeic
audit,회계 감사,toeic
accounting,회계,toeic
budget,예산,toeic
financial,재정의,toeic
curtail,~을 줄이다,toeic
deficit,적자,toeic
recently,최근에,toeic
substantially,크게,toeic
committee,위원회,toeic
frequently,자주,toeic
capability,능력,toeic
proceeds,수익금,toeic
reimburse,변제하다,toeic
considerably,상당히,toeic
adequate,충분한,toeic
total,총계의,toeic
allocate,할당하다,toeic
inspector,조사관,toeic
preferred,선호되는,toeic
quarter,사분기; 4분의1,toeic
interrupt,중단시키다,toeic
browse,흝어보다,toeic
prompt,즉각적인; 신속한,toeic
deduct,공제하다,toeic
measurement,측정,toeic
shorten,단축하다,toeic
amend,수정하다,toeic
calculate,계산하다,toeic
exempt,면제된,toeic
deficient,부족한,toeic
compare,비교하다,toeic
fortunate,운 좋은,toeic
expenditure,지출,toeic
accurately,정확하게,toeic
worth,~의 가치가 있는,toeic
excess,초과,toeic
fiscal,회계의,toeic
incidental,부수적인,toeic
inflation,물가상승,toeic
spend,~을 쓰다,toeic
turnover,총 매상고,toeic
announce,발표하다,toeic
active,적극적인,toeic
accept,수락하다,toeic
foresee,예견하다,toeic
expansion,확장,toeic
relocate,이전하다,toeic
competitor,경쟁업체,toeic
asset,자산,toeic
contribute,기여하다,toeic
dedicated,전념하는,toeic
misplace,잃어버리다,toeic
considerable,상당한,toeic
last,지속되다,toeic
emerge,부상하다,toeic
grow,성장하다,toeic
select,선발하다,toeic
merge,합병하다,toeic
imply,암시하다,toeic
vital,필수적인,toeic
persist,계속하다,toeic
independent,독립적인,toeic
force,세력,toeic
establish,설립하다,toeic
initiate, 착수하다,toeic
enhance, 향상시키다,toeic
renowned,저명한,toeic
informed,정보에 근거한,toeic
minutes,회의록,toeic
waive,적용하지 않다,toeic
authority,권한; 당국,toeic
acquire,매입하다,toeic
surpass,~을 능가하다,toeic
run,~을 운영하다,toeic
edge,우위,toeic
simultaneously,동시에,toeic
reveal,밝히다,toeic
productivity,생산성,toeic
uncertain,확신이 없는,toeic
premier,으뜸의,toeic
agenda,의제,toeic
convene,개최되다,toeic
refute,부인하다,toeic
coordination,조정,toeic
unanimous,만장일치의,toeic
convince,납득시키다,toeic
consensus,여론,toeic
defer,연기하다,toeic
usually,보통,toeic
reschedule,일정을 바꾸다,toeic
meeting,회의,toeic
determine,알아내다; 결정하다,toeic
report,보고하다; 출두하다,toeic
comment,논평하다,toeic
phase,단계,toeic
approve,승인하다,toeic
enclosed,동봉된,toeic
easy,쉬운,toeic
record,기록; 경력,toeic
suggestion,제안,toeic
attention,주의,toeic
object,반대하다,toeic
coincidentally,우연히,toeic
crowded,붐비는,toeic
undergo,겪다,toeic
outcome,결과 ,toeic
narrowly,주의 깊게,toeic
differ,의견을 달리하다,toeic
discuss,논의하다,toeic
give,하다,toeic
brief,~에게 간단히 설명하다,toeic
emphasis,강조,toeic
press,언론,toeic
organize,준비하다,toeic
mention,언급하다,toeic
persuasive,설득력 있는,toeic
understanding,이해심 있는,toeic
adjourn,휴회하다,toeic
constructive,건설적인,toeic
preside,사회를 보다,toeic
irrelevant,관계가 없는,toeic
constraint,제한,toeic
host,주최하다,toeic
annual,매년의,toeic
purpose,목적,toeic
enroll,등록하다,toeic
lecture,강의,toeic
participant,참가자,toeic
attend,참석하다,toeic
encourage,장려하다,toeic
leave,휴가,toeic
recommendation,추천사항,toeic
conference,회의,toeic
schedule,~을 예정하다,toeic
include,포함하다,toeic
result,결과,toeic
register,등록하다,toeic
require,요구하다,toeic
grateful,고마워하는,toeic
overtime,초과근무,toeic
responsibility,부담,toeic
assent,찬성하다,toeic
regard,~을 -으로 간주하다,toeic
tentative,임시적인,toeic
welcome,반가운,toeic
function,행사,toeic
commence,시작되다,toeic
objective,목표,toeic
excited,신이 난,toeic
reimbursement,상환,toeic
treatment,대우,toeic
honor,존경,toeic
emphasize,강조하다,toeic
entry,참가자,toeic
bonus,상여금,toeic
salary,급여,toeic
earn,받다,toeic
